Column1,Column2
1034.8926,250
1038.2607,241
1041.6278,277
1044.9954,264
1048.3597,276
1051.7229,278
1055.0867,259
1058.4473,260
1061.8066,282
1065.1647,249
1068.5233,260
1071.8788,233
1075.233,256
1078.5861,239
1081.9397,252
1085.29,271
1088.6392,270
1091.9871,243
1095.3337,241
1098.681,273
1102.0251,241
1105.3679,274
1108.7095,259
1112.0498,285
1115.3888,256
1118.7285,257
1122.0651,263
1125.4003,247
1128.7343,271
1132.067,248
1135.3986,257
1138.7288,280
1142.0577,279
1145.3855,254
1148.7119,273
1152.0371,286
1155.363,265
1158.6857,280
1162.0072,275
1165.3274,276
1168.6464,269
1171.964,295
1175.2805,274
1178.5957,256
1181.9097,249
1185.2224,245
1188.532,264
1191.8422,258
1195.1511,274
1198.4589,256
1201.7654,258
1205.0706,257
1208.3746,268
1211.6774,249
1214.9789,288
1218.2792,248
1221.5782,264
1224.8741,271
1228.1708,266
1231.4661,284
1234.7601,288
1238.0531,252
1241.3447,307
1244.6332,287
1247.9224,270
1251.2103,270
1254.4969,279
1257.7825,268
1261.0648,281
1264.3478,269
1267.6296,285
1270.9102,257
1274.1876,289
1277.4657,284
1280.7426,291
1284.0164,254
1287.2908,296
1290.564,282
1293.8359,271
1297.1047,258
1300.3743,284
1303.6426,293
1306.9078,281
1310.1737,287
1313.4365,287
1316.6998,272
1319.962,277
1323.2212,303
1326.481,290
1329.7377,285
1332.995,328
1336.2512,317
1339.5043,325
1342.7579,331
1346.0085,335
1349.2598,354
1352.5081,391
1355.7568,419
1359.0027,424
1362.2491,411
1365.4924,409
1368.7365,428
1371.9774,381
1375.2191,339
1378.4576,351
1381.6968,348
1384.933,346
1388.1678,314
1391.4034,346
1394.636,327
1397.8691,302
1401.0994,301
1404.3282,274
1407.5579,273
1410.7844,316
1414.0116,305
1417.2357,312
1420.4586,281
1423.6823,275
1426.9028,305
1430.1222,289
1433.3403,284
1436.5592,297
1439.7749,308
1442.9895,319
1446.2047,293
1449.417,301
1452.6281,302
1455.8379,297
1459.0483,279
1462.2557,288
1465.462,318
1468.6671,349
1471.871,326
1475.0756,316
1478.2771,329
1481.4774,316
1484.6766,334
1487.8746,341
1491.0714,323
1494.267,334
1497.4633,346
1500.6565,326
1503.8486,347
1507.0396,346
1510.2292,353
1513.4177,339
1516.6051,346
1519.7914,383
1522.9763,375
1526.1602,359
1529.3429,400
1532.5244,368
1535.7047,397
1538.8839,388
1542.0619,387
1545.2386,413
1548.4143,437
1551.5887,466
1554.7621,542
1557.9342,597
1561.1052,657
1564.275,712
1567.4436,869
1570.6111,1073
1573.7775,1375
1576.9426,1701
1580.1066,2126
1583.2676,2683
1586.4292,3123
1589.5897,3193
1592.749,3088
1595.9072,2682
1599.0642,2233
1602.2183,1713
1605.373,1318
1608.5266,1055
1611.679,876
1614.8302,723
1617.9784,625
1621.1273,606
1624.2751,533
1627.4218,500
1630.5654,462
1633.7097,505
1636.8529,394
1639.9949,406
1643.1339,410
1646.2737,356
1649.4122,380
1652.5479,347
1655.6841,366
1658.8192,344
1661.9514,353
1665.0842,345
1668.2141,298
1671.3446,304
1674.474,339
1677.6005,316
1680.7275,319
1683.8517,327
1686.9766,344
1690.1002,333
1693.2209,285
1696.3423,329
1699.4608,346
1702.58,301
1705.6962,302
1708.813,337
1711.9269,355
1715.0415,319
1718.1531,306
1721.2654,265
1724.3748,337
1727.4849,310
1730.5919,311
1733.698,322
1736.8046,306
1739.9083,325
1743.0127,319
1746.1141,329
1749.2145,304
1752.3156,274
1755.4136,296
1758.5106,304
1761.6082,344
1764.7029,322
1767.7965,334
1770.8907,320
1773.9821,353
1777.0723,346
1780.1631,323
1783.2511,327
1786.338,333
1789.4237,326
1792.5101,319
1795.5936,297
1798.6759,313
1801.7572,304
1804.8391,290
1807.9181,317
1810.9961,339
1814.0729,325
1817.1486,320
1820.223,300
1823.2983,298
1826.3706,322
1829.4419,314
1832.512,307
1835.5809,324
1838.6489,296
1841.7157,317
1844.7814,305
1847.8459,319
1850.9093,319
1853.9735,303
1857.0347,300
1860.0948,313
1863.1538,330
1866.2118,298
1869.2686,335
1872.3243,337
1875.3789,329
1878.4325,323
1881.4849,322
1884.5344,325
1887.5846,344
1890.6338,314
1893.6818,334
1896.7286,335
1899.7745,340
1902.8192,327
1905.8628,324
1908.9053,323
1911.9468,338
1914.9854,308
1918.0245,324
1921.0627,302
1924.0997,325
1927.1357,339
1930.1705,320
1933.2026,333
1936.2354,325
1939.2668,314
1942.2974,334
1945.3268,312
1948.3534,311
1951.3806,328
1954.4067,314
1957.4301,321
1960.4541,316
1963.4769,297
1966.4988,304
1969.5177,329
1972.5374,330
1975.5559,315
1978.5717,318
1981.588,317
1984.6016,362
1987.6158,312
1990.6289,341
1993.6393,321
1996.6503,312
1999.6584,320
2002.6672,321
2005.675,342
2008.6799,325
2011.6855,319
2014.6884,339
2017.6918,331
2020.6924,327
2023.6937,329
2026.6923,310
2029.6914,355
2032.6877,332
2035.6847,314
2038.679,334
2041.6738,339
2044.6659,322
2047.6569,324
2050.6484,310
2053.6375,333
2056.627,328
2059.6135,322
2062.5994,330
2065.5857,316
2068.5691,317
2071.5518,328
2074.5347,320
2077.5151,314
2080.4944,315
2083.4744,325
2086.4514,331
2089.4275,292
2092.4026,315
2095.3784,318
2098.3513,299
2101.3232,329
2104.2939,339
2107.2654,330
2110.2341,331
2113.2017,334
2116.1682,310
2119.1338,326
2122.1001,335
2125.0635,344
2128.0259,328
2130.9871,332
2133.9473,317
2136.9065,334
2139.8647,323
2142.8218,309
2145.7778,314
2148.7346,307
2151.6885,325
2154.6414,317
2157.5933,310
2160.5442,305
2163.4939,300
2166.4426,307
2169.3904,295
2172.3369,309
2175.2825,300
2178.2271,297
2181.1707,317
2184.113,322
2187.0544,287
2189.9949,321
2192.9324,297
2195.8708,310
2198.8081,312
2201.7441,311
2204.6794,313
2207.6135,317
2210.5466,329
2213.4788,279
2216.408,306
