Column1,Column2
672.79272,224
676.3017,239
679.80933,269
683.31555,238
686.81848,254
690.32202,249
693.82422,238
697.32507,232
700.82458,256
704.32068,233
707.8175,227
711.31293,228
714.80701,216
718.29974,216
721.78912,221
725.27917,223
728.76788,209
732.25519,214
735.7392,218
739.22388,207
742.70715,215
746.18713,219
749.66772,217
753.14703,228
756.62299,218
760.09955,235
763.57483,209
767.04675,227
770.51935,221
773.9906,244
777.4585,236
780.92706,226
784.39435,207
787.85822,210
791.32281,225
794.78406,228
798.24597,207
801.70459,228
805.16382,213
808.6217,221
812.07635,220
815.53156,218
818.98352,216
822.43616,228
825.88544,222
829.33539,216
832.78204,214
836.22937,239
839.67334,192
843.11804,234
846.55939,201
849.99945,208
853.44012,201
856.87756,200
860.31561,210
863.75043,217
867.18585,204
870.61798,210
874.04883,213
877.48029,205
880.90851,208
884.33539,196
887.76294,201
891.18726,211
894.61218,226
898.03381,215
901.45416,208
904.87323,235
908.29291,219
911.70935,222
915.12445,218
918.54022,225
921.95276,247
925.36395,244
928.77386,263
932.18445,303
935.59174,325
938.99774,357
942.40247,395
945.8078,381
949.20996,407
952.61078,357
956.01031,393
959.40851,380
962.80542,409
966.203,379
969.59735,362
972.99042,366
976.3822,367
979.77264,387
983.16187,343
986.54974,325
989.93634,284
993.32361,235
996.70764,235
1000.0903,243
1003.4718,235
1006.852,227
1010.2309,231
1013.6085,216
1016.9848,220
1020.3598,205
1023.7336,202
1027.1061,197
1030.4773,202
1033.8472,217
1037.2158,177
1040.5831,197
1043.9492,212
1047.3141,195
1050.6776,208
1054.0399,194
1057.4009,186
1060.7587,198
1064.1171,191
1067.4742,167
1070.8302,195
1074.1848,197
1077.5381,194
1080.8903,203
1084.2411,190
1087.5886,205
1090.937,194
1094.2839,199
1097.6298,180
1100.9742,176
1104.3175,183
1107.6575,190
1110.9982,185
1114.3376,187
1117.6758,207
1121.0109,200
1124.3466,182
1127.6809,202
1131.014,195
1134.344,200
1137.6747,192
1141.004,187
1144.3302,199
1147.6571,184
1150.9827,210
1154.3052,195
1157.6283,221
1160.9501,211
1164.2688,199
1167.5881,205
1170.9063,177
1174.2212,214
1177.5369,189
1180.8494,196
1184.1625,208
1187.4742,199
1190.7831,192
1194.0924,190
1197.3987,182
1200.7056,213
1204.0093,206
1207.3137,195
1210.615,194
1213.9169,202
1217.2157,194
1220.5151,197
1223.8115,192
1227.1084,205
1230.4023,192
1233.6968,188
1236.9882,218
1240.2783,210
1243.5691,220
1246.8568,197
1250.1451,182
1253.4303,189
1256.7144,194
1259.999,214
1263.2805,209
1266.5626,223
1269.8418,219
1273.1196,196
1276.3981,203
1279.6735,196
1282.9476,211
1286.2206,207
1289.4941,225
1292.7646,222
1296.0339,207
1299.304,241
1302.5707,213
1305.8363,252
1309.1007,255
1312.3658,244
1315.6278,249
1318.8885,261
1322.1481,261
1325.4064,264
1328.6653,296
1331.9211,310
1335.1759,320
1338.4293,327
1341.6815,338
1344.9326,347
1348.1824,356
1351.4329,321
1354.6803,338
1357.9264,298
1361.1714,332
1364.4152,327
1367.6577,333
1370.8992,312
1374.1393,334
1377.3783,307
1380.616,275
1383.8525,268
1387.0879,266
1390.322,266
1393.5549,263
1396.7866,253
1400.0172,227
1403.2466,244
1406.4747,260
1409.7017,237
1412.9274,209
1416.1519,248
1419.3752,239
1422.5974,244
1425.8184,234
1429.0381,205
1432.2549,235
1435.4723,250
1438.6885,228
1441.9034,225
1445.1172,234
1448.3298,242
1451.5394,239
1454.7496,253
1457.9587,238
1461.1666,241
1464.3733,250
1467.5769,256
1470.7813,257
1473.9844,254
